,iso,glcode,name,lat,lon,genus,family,macroarea,country,tea,level,from
111,any,anyi1245,Anyi,7.0,-3.5,Kwa,Niger-Congo,Africa,CI,,language,wals1
112,anu,anua1242,Anywa,8.0,33.5,Nilotic,Eastern Sudanic,Africa,ET,,language,wals1
113,anz,anem1249,Anêm,-5.58333333333,149.083333333,Anêm,Anêm,Papunesia,PG,,language,wals1
114,njo,aona1235,Ao,26.5833333333,94.6666666667,Kuki-Chin,Sino-Tibetan,Eurasia,IN,,language,wals1
115,apm,mesc1238,Apache (Chiricahua),33.25,-108.0,Athapaskan,Na-Dene,North America,US,,language,wals1
116,apj,jica1244,Apache (Jicarilla),36.5833333333,-104.0,Athapaskan,Na-Dene,North America,US,,language,wals1
117,apw,west2615,Apache (Western),33.75,-110.0,Athapaskan,Na-Dene,North America,US,,language,wals1
118,apy,apal1257,Apalaí,0.0,-54.0,Cariban,Cariban,South America,BR,,language,wals1
119,apt,apat1240,Apatani,27.5,93.75,Tani,Sino-Tibetan,Eurasia,IN,,language,wals1
120,apn,apin1244,Apinayé,-5.5,-48.0,Ge-Kaingang,Macro-Ge,South America,BR,,language,wals1
121,apu,apur1254,Apurinã,-9.0,-67.0,Purus,Arawakan,South America,BR,,language,wals1
122,ard,arab1267,Arabana,-28.25,136.25,Central Pama-Nyungan,Pama-Nyungan,Australia,AU,,language,wals1
123,arl,arab1268,Arabela,-2.0,-75.1666666667,Zaparoan,Zaparoan,South America,PE,,language,wals1
124,shu,chad1249,Arabic (Abbéché Chad),13.8333333333,20.8333333333,Semitic,Afro-Asiatic,Africa,TD,,language,wals1
125,abv,baha1259,Arabic (Bahrain),26.0,50.5,Semitic,Afro-Asiatic,Eurasia,BH,,language,wals1
126,mey,hass1238,Arabic (Bani-Hassan),20.0,-10.0,Semitic,Afro-Asiatic,Africa,MR,,language,wals1
127,apc,nort3139,Arabic (Beirut),33.9166666667,35.5,Semitic,Afro-Asiatic,Eurasia,LB,,language,wals1
128,shu,chad1249,Arabic (Borno Nigerian),8.58333333333,12.4166666667,Semitic,Afro-Asiatic,Africa,NG,,language,wals1
129,shu,,Arabic (Chadian),13.8333333333,20.8333333333,,,Africa,,,language,wals2
130,ayl,liby1240,Arabic (Eastern Libyan),32.0,22.0,Semitic,Afro-Asiatic,Africa,LY,,language,wals1
131,arz,egyp1253,Arabic (Egyptian),30.0,31.0,Semitic,Afro-Asiatic,Africa,EG,1 Words derived from Sinitic cha,language,wals1
132,afb,gulf1241,Arabic (Gulf),26.0,49.0,Semitic,Afro-Asiatic,Eurasia,IQ SA OM QA KW IR BH,,language,wals1
133,acw,hija1235,Arabic (Hijazi),26.0,38.0,Semitic,Afro-Asiatic,Eurasia,SA,,language,wals1
134,acm,meso1252,Arabic (Iraqi),33.0,44.0,Semitic,Afro-Asiatic,Eurasia,IQ,,language,wals1
135,acy,cypr1248,Arabic (Kormakiti),35.25,33.5,Semitic,Afro-Asiatic,Eurasia,CY,,language,wals1
136,afb,gulf1241,Arabic (Kuwaiti),29.5,47.5,Semitic,Afro-Asiatic,Eurasia,KW,,language,wals1
137,apc,nort3139,Arabic (Lebanese),34.0,36.0,Semitic,Afro-Asiatic,Eurasia,LB,,language,wals1
138,arb,stan1318,Arabic (Modern Standard),25.0,42.0,Semitic,Afro-Asiatic,Eurasia,KM KW SO SY OM QA EG TN MA LY JO LB ER YE SA IQ PS DZ AE BH SD IL,,language,wals1
139,ary,moro1292,Arabic (Moroccan),34.0,-6.0,Semitic,Afro-Asiatic,Africa,MA,,language,wals1
140,ajp,sout3123,Arabic (Negev),30.5,34.75,Semitic,Afro-Asiatic,Eurasia,IL,,language,wals1
141,apc,nort3139,Arabic (North Levantine Spoken),33.75,36.0,Semitic,Afro-Asiatic,Eurasia,LB,,language,wals1
