,Unnamed: 0,iso,glcode,name,lat,lon,genus,family,macroarea,country,tea,level,from
231,231,ban,bali1278,Balinese,-8.33333333333,115.25,Malayo-Sumbawan,Austronesian,Papunesia,ID,te,language,wals1
233,233,bgp,east2304,Baluchi,28.0,62.0,Iranian,Indo-European,Eurasia,PK IR AF,cha,language,wals1
236,236,bam,bamb1269,Bambara,12.5,-7.5,Western Mande,Mande,Africa,ML,other,language,wals1
269,269,bak,bash1264,Bashkir,53.0,58.0,Turkic,Altaic,Eurasia,RU,cha,language,wals1
270,270,eus,basq1248,Basque,43.0,-3.0,Basque,Basque,Eurasia,FR ES,cha,language,wals1
298,298,bel,bela1254,Belorussian,54.0,28.0,Slavic,Indo-European,Eurasia,BY,cha,language,wals1
304,304,ben,beng1280,Bengali,24.0,90.0,Indic,Indo-European,Eurasia,IN BD,cha,language,wals1
311,311,tzm,cent2194,Berber (Middle Atlas),33.0,-5.0,Berber,Afro-Asiatic,Africa,MA,other,language,wals1
374,374,bre,bret1244,Breton,48.0,-3.0,Celtic,Indo-European,Eurasia,FR,te,language,wals1
379,379,bru,east2332,Bru (Eastern),17.3333333333,106.0,Katuic,Austro-Asiatic,Eurasia,LA,te,language,wals1
392,392,bul,bulg1262,Bulgarian,42.5,25.0,Slavic,Indo-European,Eurasia,BG,cha,language,wals1
402,402,bxm,mong1330,Buriat,52.0,108.0,Mongolic,Altaic,Eurasia,MN RU CN,cha,language,wals1
403,403,bji,burj1242,Burji,5.5,37.8333333333,Lowland East Cushitic,Afro-Asiatic,Africa,ET,cha,language,wals1
404,404,mya,nucl1310,Burmese,21.0,96.0,Burmese-Lolo,Sino-Tibetan,Eurasia,MM,other,language,wals1
408,408,bsk,buru1296,Burushaski,36.5,74.5,Burushaski,Burushaski,Eurasia,PK,cha,language,wals1
426,426,yue,yuec1235,Cantonese,23.0,113.0,Chinese,Sino-Tibetan,Eurasia,CN,cha,language,wals1
436,436,cat,stan1289,Catalan,41.75,2.0,Romance,Indo-European,Eurasia,ES,te,language,wals1
443,443,ceb,cebu1242,Cebuano,10.0,124.0,Greater Central Philippine,Austronesian,Papunesia,PH,cha,language,wals1
448,448,cjm,east2563,Cham (Eastern),11.3333333333,108.5,Malayo-Sumbawan,Austronesian,Eurasia,VN,cha,language,wals1
452,452,cha,cham1312,Chamorro,13.45,144.75,Chamorro,Austronesian,Papunesia,GU,cha,language,wals1
454,454,chx,chan1310,Chantyal,28.5833333333,83.4166666667,Bodic,Sino-Tibetan,Eurasia,NP,cha,language,wals1
464,464,che,chec1245,Chechen,43.25,45.8333333333,Nakh,Nakh-Daghestanian,Eurasia,RU,cha,language,wals1
468,468,ute,utes1238,Chemehuevi,34.3333333333,-115.166666667,Numic,Uto-Aztecan,North America,US,te,language,wals1
470,470,chr,cher1273,Cherokee,35.5,-83.5,Southern Iroquoian,Iroquoian,North America,US,other,language,wals1
471,471,chy,chey1247,Cheyenne,47.0,-95.0,Algonquian,Algic,North America,US,other,language,wals1
472,472,nya,nyan1308,Chichewa,-14.0,34.0,Bantoid,Niger-Congo,Africa,ZW MW ZM MZ,te,language,wals1
492,492,chp,chip1261,Chipewyan,59.0,-106.0,Athapaskan,Na-Dene,North America,CA,te,language,wals1
506,506,crw,chra1242,Chrau,10.75,107.5,Bahnaric,Austro-Asiatic,Eurasia,VN,cha,language,wals1
507,507,cje,chru1239,Chru,11.5,108.5,Malayo-Sumbawan,Austronesian,Eurasia,VN,te,language,wals1
517,517,chv,chuv1255,Chuvash,55.5,47.5,Turkic,Altaic,Eurasia,RU,cha,language,wals1
523,523,coc,coco1261,Cocopa,32.3333333333,-115.0,Yuman,Hokan,North America,MX US,te,language,wals1
531,531,swb,maor1244,Comorian,-12.0,44.0,Bantoid,Niger-Congo,Africa,KM YT,cha,language,wals1
537,537,crk,plai1258,Cree (Plains),54.0,-110.0,Algonquian,Algic,North America,CA,other,language,wals1
542,542,cua,cuaa1241,Cua,15.25,108.5,Bahnaric,Austro-Asiatic,Eurasia,VN,te,language,wals1
551,551,ces,czec1258,Czech,50.0,15.0,Slavic,Indo-European,Eurasia,CZ,cha,language,wals1
559,559,dga,sout2789,Dagaare,10.5,-2.66666666667,Gur,Niger-Congo,Africa,GH BF,te,language,wals1
562,562,dal,daha1245,Dahalo,-2.33333333333,40.5,Dahalo,Afro-Asiatic,Africa,KE,cha,language,wals1
570,570,dan,dani1285,Danish,56.0,10.0,Germanic,Indo-European,Eurasia,DK,te,language,wals1
591,591,div,dhiv1236,Dhivehi,4.16666666667,73.5,Indic,Indo-European,Eurasia,MV,cha,language,wals1
601,601,dip,nort2815,Dinka,8.5,28.0,Nilotic,Eastern Sudanic,Africa,SD,cha,language,wals1
602,602,dyo,jola1263,Diola-Fogny,13.0,-16.25,Northern Atlantic,Niger-Congo,Africa,GM SN,te,language,wals1
627,627,dua,dual1243,Duala,4.0,9.41666666667,Bantoid,Niger-Congo,Africa,CM,te,language,wals1
637,637,nld,dutc1256,Dutch,52.5,6.0,Germanic,Indo-European,Eurasia,NL,te,language,wals1
664,664,eng,stan1293,English,52.0,0.0,Germanic,Indo-European,Eurasia,GB IE,te,language,wals1
671,671,est,esto1258,Estonian,59.0,26.0,Finnic,Uralic,Eurasia,EE,te,language,wals1
674,674,eve,even1260,Even,68.0,130.0,Tungusic,Altaic,Eurasia,RU,cha,language,wals1
675,675,evn,even1259,Evenki,56.0,125.0,Tungusic,Altaic,Eurasia,RU,cha,language,wals1
676,676,ewe,ewee1241,Ewe,6.33333333333,0.416666666667,Kwa,Niger-Congo,Africa,TG GH,te,language,wals1
678,678,ewo,ewon1239,Ewondo,4.0,12.0,Bantoid,Niger-Congo,Africa,CM,te,language,wals1
685,685,fin,finn1318,Finnish,62.0,25.0,Finnic,Uralic,Eurasia,FI,te,language,wals1
694,694,fra,stan1290,French,48.0,2.0,Romance,Indo-European,Eurasia,CH FR,te,language,wals1
699,699,fuh,west2454,Ful (Liptako),13.5,0.5,Northern Atlantic,Niger-Congo,Africa,BF,other,language,wals1
701,701,fub,adam1253,Fula (Cameroonian),9.16666666667,13.5,Northern Atlantic,Niger-Congo,Africa,CM,cha,language,wals1
728,728,kld,gami1243,Gamilaraay,-29.8333333333,149.5,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU,te,language,wals1
743,743,kat,nucl1302,Georgian,42.0,44.0,Kartvelian,Kartvelian,Eurasia,GE,cha,language,wals1
744,744,deu,stan1295,German,52.0,10.0,Germanic,Indo-European,Eurasia,AT DE CH,te,language,wals1
779,779,gor,goro1259,Gorontalo,0.5,122.0,Greater Central Philippine,Austronesian,Papunesia,ID,te,language,wals1
784,784,ell,mode1248,Greek (Modern),39.0,22.0,Greek,Indo-European,Eurasia,GR,cha,language,wals1
