,skip,language,term,transliteration,item,group,iso,glcode,level,branch,family,macroarea,country,lat,lon,from,text
84,,Mandarin Chinese,肉桂,ròuguì,ròuguì,gui,cmn,mand1415,language,,Sino-Tibetan,Eurasia,CN KP LA MM MN RU TW VN,40.0209,116.228,glot,肉桂 <br>ròuguì<br>Language: Mandarin Chinese<br>Family: Sino-Tibetan
59,,Japanese,肉桂,nikkei,nikkei,gui,jpn,nucl1643,language,Japanese,Japanese,Eurasia,JP,37.0,140.0,wals1,肉桂<br>nikkei<br>Language: Japanese<br>Family: Japanese
70,,Korean,계피,gyepi,gyepi,gui,kor,kore1280,language,Korean,Korean,Eurasia,KP KR,37.5,128.0,wals1,계피<br>gyepi<br>Language: Korean<br>Family: Korean
135,,Twi,anoatre dua,,anoatre dua,other,twi,twii1234,dialect,,Atlantic-Congo,Africa,,6.35,-1.33,glot,anoatre dua<br>Language: Twi<br>Family: Atlantic-Congo
129,,Thai,อบเชย,òp-chəəi,òp-chəəi,other,tha,thai1261,language,Kam-Tai,Tai-Kadai,Eurasia,TH,16.0,101.0,wals1,อบเชย<br>òp-chəəi<br>Language: Thai<br>Family: Tai-Kadai
56,,Indonesian,kayu manis,,kayu manis,other,ind,indo1316,language,Malayo-Sumbawan,Austronesian,Papunesia,ID,0.0,106.0,wals1,kayu manis<br>Language: Indonesian<br>Family: Austronesian
29,,Dhivehi,ފޮނި ތޮށި,foni thoshi,foni thoshi,other,div,dhiv1236,language,Indic,Indo-European,Eurasia,MV,4.16666666667,73.5,wals1,ފޮނި ތޮށި<br>foni thoshi<br>Language: Dhivehi<br>Family: Indo-European
67,,Khmer,អុបឆឺយ,obchheuy,obchheuy,other,khm,cent1989,language,Khmer,Austro-Asiatic,Eurasia,KH,12.5,105.0,wals1,អុបឆឺយ<br>obchheuy<br>Language: Khmer<br>Family: Austro-Asiatic
132,,Tulu,ಚೆಕ್ಕೆ,chekke,chekke,other,tcy,tulu1258,language,Southern Dravidian,Dravidian,Eurasia,IN,12.75,75.3333333333,wals1,ಚೆಕ್ಕೆ<br>chekke<br>Language: Tulu<br>Family: Dravidian
61,,Javanese,ꦏꦪꦸꦩꦤꦶꦱ꧀,kayumanis,kayumanis,other,jav,java1254,language,Javanese,Austronesian,Papunesia,ID,-7.0,111.0,wals1,ꦏꦪꦸꦩꦤꦶꦱ꧀ <br>kayumanis<br>Language: Javanese<br>Family: Austronesian
69,,Konyak Naga,pongmo,,pongmo,other,nbe,kony1248,language,,Sino-Tibetan,Eurasia,IN MM,26.6823,95.0598,glot,pongmo<br>Language: Konyak Naga<br>Family: Sino-Tibetan
130,,Tibetan,ཤིང་ཚ,shing tsha,shing tsha,other,bod,tibe1272,language,,Sino-Tibetan,Eurasia,BT CN IN NP,28.3681,90.1872,glot,ཤིང་ཚ <br>shing tsha<br>Language: Tibetan<br>Family: Sino-Tibetan
14,,Burmese,သစ်ကြံပိုး,sackrampui:,sackrampui:,other,mya,nucl1310,language,Burmese-Lolo,Sino-Tibetan,Eurasia,MM,21.0,96.0,wals1,သစ်ကြံပိုး <br>sackrampui:<br>Language: Burmese<br>Family: Sino-Tibetan
97,,Northern Rengma Naga,achansa,,achansa,other,nnl,nort2725,language,,Sino-Tibetan,Eurasia,IN,26.4492,94.5683,glot,achansa<br>Language: Northern Rengma Naga<br>Family: Sino-Tibetan
126,,Tamil,"இலவங்கப்பட்டை, கருவாப்பட்டை/கறுவாப்பட்டை","ilavaṅkappaṭṭai, karuvāppaṭṭai/kaṟuvāppaṭṭai","ilavaṅkappaṭṭai, karuvāppaṭṭai/kaṟuvāppaṭṭai",other,tam,tami1289,language,Southern Dravidian,Dravidian,Eurasia,LK IN,11.0,78.5,wals1,"இலவங்கப்பட்டை, கருவாப்பட்டை/கறுவாப்பட்டை <br>ilavaṅkappaṭṭai, karuvāppaṭṭai/kaṟuvāppaṭṭai<br>Language: Tamil<br>Family: Dravidian"
54,,Hungarian,fahéj,,fahéj,other,hun,hung1274,language,Ugric,Uralic,Eurasia,HU,47.0,20.0,wals1,fahéj<br>Language: Hungarian<br>Family: Uralic
95,,North-Central Tangkhul Naga,pharongkor,,pharongkor,other,,nort3287,language,,Sino-Tibetan,Eurasia,IN,25.156667,94.204722,glot,pharongkor<br>Language: North-Central Tangkhul Naga<br>Family: Sino-Tibetan
92,,Mongolian,шанц,shants,shants,other,mon,mong1331,family,,Mongolic-Khitan,,MN,48.32,106.29,glot,шанц <br>shants<br>Language: Mongolian<br>Family: Mongolic-Khitan
106,,Romanian,scorțișoară,,scorțișoară,other,ron,roma1327,language,Romance,Indo-European,Eurasia,RO,46.0,25.0,wals1,scorțișoară<br>Language: Romanian<br>Family: Indo-European
89,,Mizo,thakthing,,thakthing,other,lus,lush1249,language,Kuki-Chin,Sino-Tibetan,Eurasia,IN BD,23.1666666667,92.8333333333,wals1,thakthing<br>Language: Mizo<br>Family: Sino-Tibetan
